similarity (splittings) (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst5GramDiceVariantMinMatchLength2, 0, 14, 0, 16, 6, 10, 0, 0, 0, 8
rkrGst3GramJaccardMinMatchLength3, 0, 1, 0, 15, 6, 10, 0, 0, 0, 8
cosineNormalizedShingle2NormalizedTermFrequency, 0, 2, 0, 0, 0, no result, 0, 0, 0, 0
overlapNormalized5Grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalized3GramJaccardMinMatchLength2, 0, 0, 0, 6, 6, 2, 0, 0, 0, 7
diceVariant4Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst5GramDiceMinMatchLength2, 0, 1, 0, 9, 0, 2, 0, 0, 0, 0
rkrGst5GramJaccardMinMatchLength2, 0, 1, 0, 15, 0, 2, 0, 0, 0, 1
rkrGstTokenDiceMinMatchLength3, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0
rkrGstNormalizedShingle2DiceVariantMinMatchLength1, 0, 8, 0, 9, 0, no result, 0, 0, 0, 3
cosineNormalized3GramsTermFrequency, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
winnowingTokenDice, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0
diceNormalized4Grams, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalized5GramDiceMinMatchLength1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0
winnowingNormalizedTokenDiceVariant, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0
jaccardNormalized2Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst5GramDiceMinMatchLength3, 0, 1, 0, 9, 0, 2, 0, 0, 0, 0
cosineNormalized2GramsBool, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
jaccardNormalizedShingles2, 0, 2, 0, 0, 0, no result, 0, 0, 0, 0
winnowing2GramDiceVariant, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 1, 0, 1, 6, 2, 0, 0, 0, 9
rkrGst3GramDiceMinMatchLength3, 0, 0, 0, 10, 3, 9, 0, 0, 0, 1
optimalAlignment2GramFingerprint, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 1, 0, 4, 6, 2, 0, 0, 0, 9
rkrGstShingle2DiceVariantMinMatchLength2, 0, 10, 0, 8, 0, no result, 0, 0, 0, 0
longestCommonSubsequenceShingle3Fingerprint, 0, no result, 2, 1, 1, no result, 2, 0, 0, no result
overlap3Grams, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
jaccardNormalizedPadding3grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
rkrGst2GramJaccardMinMatchLength2, 0, 1, 0, 16, 6, 10, 0, 0, 0, 8
rkrGstNormalized5GramDiceVariantMinMatchLength3, 0, 15, 0, 9, 6, 2, 0, 0, 0, 8
longestCommonSubsequence5GramFingerprintNormalized, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0
rkrGstNormalizedTokenJaccardMinMatchLength1, 0, 2, 0, 6, 0, 0, 0, 0, 0, 0
optimalAlignment2GramFingerprintNormalized, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
manhattanNormalizedTokens, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstNormalized5GramDiceMinMatchLength2, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0
rkrGstNormalized5GramOverlapMinMatchLength1, 0, 1, 0, 4, 6, 2, 0, 0, 0, 9
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0, 8, 0, 7, 0, no result, 0, 0, 0, 0
rkrGstTokenDiceMinMatchLength1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
rkrGstNormalized3GramDiceMinMatchLength2, 0, 0, 0, 1, 6, 2, 0, 0, 0, 0
rkrGstNormalized2GramJaccardMinMatchLength2, 0, 0, 0, 16, 6, 0, 0, 0, 0, 8
rkrGst3GramDiceVariantMinMatchLength2, 0, 23, 0, 16, 6, 10, 0, 0, 0, 8
diceVariantNormalizedShingles2, 0, 0, 0, 0, 0, no result, 0, 0, 0, 0
winnowing4GramOverlap, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0
diceVariantNormalized4Grams, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
