average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstTokenDiceMinMatchLength1, 0.0, 1.0, 0.0, 17.0, 13.0, 6.0, 0.0, 0.0, 0.0, 8.0
overlapNormalizedPadding3grams, 0.0, 4.0, 0.0, 11.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
winnowingNormalizedTokenOverlap, 0.0, 1.0, 0.0, 4.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
rkrGst5GramDiceVariantMinMatchLength3, 0.0, 39.0, 6.0, 383.0, 3173.0, 138.0, 5.0, 5.0, 11.0, 331.0
rkrGstShingle3DiceMinMatchLength1, 0.0, no result, 0.0, 28.0, 28.0, no result, 0.0, 0.0, 1.0, no result
winnowingNormalized4GramDice, 0.0, 4.0, 0.0, 13.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGst5GramJaccardMinMatchLength1, 0.0, 41.0, 6.0, 465.0, 3455.0, 135.0, 4.0, 3.0, 9.0, 306.0
overlap2Grams, 0.0, 2.0, 0.0, 6.0, 5.0, 2.0, 0.0, 0.0, 0.0, 2.0
longestCommonSubsequence4GramFingerprint, 0.0, 2.0, 0.0, 14.0, 25.0, 4.0, 0.0, 0.0, 1.0, 7.0
rkrGst4GramJaccardMinMatchLength3, 0.0, 36.0, 5.0, 359.0, 3079.0, 143.0, 5.0, 4.0, 15.0, 281.0
rkrGstNormalized2GramOverlapMinMatchLength1, 0.0, 23.0, 2.0, 134.0, 314.0, 35.0, 2.0, 1.0, 4.0, 143.0
optimalAlignment5GramFingerprint, 0.0, 12.0, 1.0, 229.0, 605.0, 57.0, 2.0, 1.0, 10.0, 125.0
winnowingNormalizedShingle3Dice, 0.0, 2.0, 0.0, 9.0, 7.0, no result, 0.0, 0.0, 0.0, no result
diceVariantNormalized4Grams, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGst2GramDiceVariantMinMatchLength3, 0.0, 33.0, 5.0, 272.0, 1143.0, 164.0, 3.0, 2.0, 7.0, 244.0
optimalAlignmentShingle2Fingerprint, 0.0, 2.0, 0.0, 7.0, 5.0, no result, 0.0, 0.0, 0.0, 2.0
