max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGst4GramDiceVariantMinMatchLength1, 0, 779, 22, 6, 88, 2, 89, 0, 64, 5
rkrGstNormalizedShingle3OverlapMinMatchLength2, 0, 83, 4, 1, 14, no result, 16, 0, 9, no result
rkrGstNormalizedTokenDiceMinMatchLength1, 0, 54, 1, 0, 9, 0, 6, 0, 5, 0
rkrGstNormalized4GramJaccardMinMatchLength3, 0, 552, 18, 4, 54, 2, 66, 0, 46, 3
overlapNormalizedShingles3, 0, 22, 1, 1, 4, no result, 4, 0, 3, no result
jaccard5Grams, 0, 17, 1, 0, 3, 0, 5, 0, 4, 0
rkrGst4GramJaccardMinMatchLength1, 0, 748, 22, 6, 82, 2, 90, 0, 60, 4
rkrGstNormalized2GramOverlapMinMatchLength2, 0, 512, 16, 4, 51, 1, 65, 0, 40, 3
rkrGstShingle3OverlapMinMatchLength2, 0, no result, 2, 1, 11, no result, 10, 0, 7, no result
winnowingTokenDiceVariant, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
rkrGst5GramDiceVariantMinMatchLength1, 0, 839, 25, 6, 95, 2, 97, 0, 67, 5
rkrGstNormalizedShingle2DiceVariantMinMatchLength1, 0, 93, 4, 1, 14, no result, 15, 0, 9, 1
rkrGstShingle2JaccardMinMatchLength1, 0, 64, 2, 1, 11, no result, 10, 0, 8, 0
longestCommonSubsequenceStandard, 0, 197, 11, 0, 25, 0, 45, 0, 23, 1
rkrGstNormalizedTokenDiceMinMatchLength2, 0, 47, 1, 0, 8, 0, 5, 0, 4, 0
diceVariantShingles3, 0, no result, 0, 0, 2, no result, 2, 0, 1, no result
rkrGstShingle3DiceMinMatchLength1, 0, no result, 2, 1, 12, no result, 11, 0, 7, no result
overlapNormalized3Grams, 0, 18, 1, 1, 3, 0, 4, 0, 2, 0
optimalAlignment5GramFingerprint, 0, 218, 13, 1, 27, 0, 51, 0, 25, 1
