total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalizedShingle2OverlapMinMatchLength3,0,77,3,1,13, no result,15,0,8,0
rkrGstNormalizedShingle3DiceMinMatchLength1,0,97,4,2,15, no result,17,0,10, no result
rkrGstNormalizedShingle3DiceMinMatchLength2,0,84,4,1,14, no result,17,0,9, no result
rkrGstNormalizedShingle3DiceMinMatchLength3,0,92,4,1,15, no result,17,0,9, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength1,0,92,4,1,16, no result,24,0,10, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength2,0,124,4,2,15, no result,18,0,10, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength3,0,85,5,1,15, no result,18,0,10, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1,0,94,4,1,15, no result,18,0,10, no result
rkrGstNormalizedShingle3JaccardMinMatchLength2,0,96,4,1,14, no result,17,0,10, no result
rkrGstNormalizedShingle3JaccardMinMatchLength3,0,90,4,1,17, no result,17,0,11, no result
rkrGstNormalizedShingle3OverlapMinMatchLength1,0,90,4,1,15, no result,17,0,10, no result
rkrGstNormalizedShingle3OverlapMinMatchLength2,0,88,4,1,15, no result,17,0,11, no result
rkrGstNormalizedShingle3OverlapMinMatchLength3,0,128,8,3,20, no result,25,0,17, no result
rkrGstNormalizedTokenDiceMinMatchLength1,0,55,3,1,9,0,6,0,5,0
rkrGstNormalizedTokenDiceMinMatchLength2,0,49,1,0,8,0,6,0,4,0
rkrGstNormalizedTokenDiceMinMatchLength3,0,50,1,0,8,0,6,0,5,0
rkrGstNormalizedTokenDiceVariantMinMatchLength1,0,57,2,1,10,0,7,0,6,0
rkrGstNormalizedTokenDiceVariantMinMatchLength2,0,50,2,0,8,0,6,0,4,0
rkrGstNormalizedTokenDiceVariantMinMatchLength3,0,50,1,0,8,0,6,0,4,0
rkrGstNormalizedTokenJaccardMinMatchLength1,0,56,2,0,9,0,6,0,5,0
rkrGstNormalizedTokenJaccardMinMatchLength2,0,51,1,1,8,0,6,0,5,0
rkrGstNormalizedTokenJaccardMinMatchLength3,0,52,1,0,9,0,6,0,5,0
rkrGstNormalizedTokenOverlapMinMatchLength1,0,57,1,0,9,0,8,0,5,0
rkrGstNormalizedTokenOverlapMinMatchLength2,0,66,2,1,8,0,6,0,5,0
rkrGstNormalizedTokenOverlapMinMatchLength3,0,59,1,0,8,0,7,0,5,0
rkrGstShingle2DiceMinMatchLength1,0,63,2,1,10, no result,9,0,7,0
