total time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized5GramJaccardMinMatchLength1,0,27,2,166,382,40,2,1,5,142
rkrGstNormalized5GramJaccardMinMatchLength2,0,26,2,165,381,39,2,1,5,133
rkrGstNormalized5GramJaccardMinMatchLength3,0,27,2,159,378,38,2,1,5,134
rkrGstNormalized5GramOverlapMinMatchLength1,0,28,3,175,416,46,2,1,4,135
rkrGstNormalized5GramOverlapMinMatchLength2,0,25,2,158,374,37,2,1,4,133
rkrGstNormalized5GramOverlapMinMatchLength3,0,24,2,161,376,36,2,1,5,138
rkrGstNormalizedShingle2DiceMinMatchLength1,0,4,0,28,25, no result,0,0,1,11
rkrGstNormalizedShingle2DiceMinMatchLength2,0,4,0,25,23, no result,0,0,1,10
rkrGstNormalizedShingle2DiceMinMatchLength3,0,4,0,25,24, no result,0,0,1,11
rkrGstNormalizedShingle2DiceVariantMinMatchLength1,0,5,0,26,25, no result,0,0,1,11
rkrGstNormalizedShingle2DiceVariantMinMatchLength2,0,4,0,24,25, no result,0,0,1,12
rkrGstNormalizedShingle2DiceVariantMinMatchLength3,0,6,0,24,24, no result,0,0,1,11
rkrGstNormalizedShingle2JaccardMinMatchLength1,0,4,0,26,29, no result,0,0,1,11
rkrGstNormalizedShingle2JaccardMinMatchLength2,0,5,0,28,26, no result,0,0,1,11
rkrGstNormalizedShingle2JaccardMinMatchLength3,0,4,0,26,24, no result,0,0,1,11
rkrGstNormalizedShingle2OverlapMinMatchLength1,0,5,0,27,25, no result,0,0,1,12
rkrGstNormalizedShingle2OverlapMinMatchLength2,0,5,0,24,24, no result,0,0,1,12
rkrGstNormalizedShingle2OverlapMinMatchLength3,0,4,0,23,25, no result,0,0,1,10
rkrGstNormalizedShingle3DiceMinMatchLength1,0,5,0,29,29, no result,0,0,1, no result
rkrGstNormalizedShingle3DiceMinMatchLength2,0,4,0,28,28, no result,0,0,1, no result
rkrGstNormalizedShingle3DiceMinMatchLength3,0,4,0,27,27, no result,0,0,1, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength1,0,5,0,30,30, no result,0,0,1, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength2,0,6,0,30,28, no result,0,0,2, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength3,0,5,0,27,30, no result,0,0,1, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1,0,5,0,30,28, no result,0,0,1, no result
rkrGstNormalizedShingle3JaccardMinMatchLength2,0,4,0,27,28, no result,0,0,1, no result
rkrGstNormalizedShingle3JaccardMinMatchLength3,0,4,0,28,28, no result,0,0,1, no result
rkrGstNormalizedShingle3OverlapMinMatchLength1,0,4,0,27,29, no result,0,0,1, no result
rkrGstNormalizedShingle3OverlapMinMatchLength2,0,4,0,26,26, no result,0,0,1, no result
rkrGstNormalizedShingle3OverlapMinMatchLength3,0,6,0,34,63, no result,0,0,1, no result
rkrGstNormalizedTokenDiceMinMatchLength1,0,2,0,17,13,6,0,0,0,7
rkrGstNormalizedTokenDiceMinMatchLength2,0,2,0,16,12,7,0,0,0,6
rkrGstNormalizedTokenDiceMinMatchLength3,0,3,0,16,12,6,0,0,0,6
rkrGstNormalizedTokenDiceVariantMinMatchLength1,0,3,0,20,13,6,0,0,0,7
rkrGstNormalizedTokenDiceVariantMinMatchLength2,0,2,0,18,14,6,0,0,0,8
rkrGstNormalizedTokenDiceVariantMinMatchLength3,0,3,0,18,12,6,1,0,0,7
rkrGstNormalizedTokenJaccardMinMatchLength1,0,2,0,18,14,7,0,0,0,7
rkrGstNormalizedTokenJaccardMinMatchLength2,0,2,0,19,13,6,0,0,0,7
rkrGstNormalizedTokenJaccardMinMatchLength3,0,2,0,17,13,6,0,1,0,7
rkrGstNormalizedTokenOverlapMinMatchLength1,0,2,0,17,13,6,0,0,0,7
rkrGstNormalizedTokenOverlapMinMatchLength2,0,2,0,18,13,6,0,0,0,6
rkrGstNormalizedTokenOverlapMinMatchLength3,0,2,0,17,14,8,0,0,1,8
rkrGstShingle2DiceMinMatchLength1,0,3,0,24,19, no result,0,0,0,9
rkrGstShingle2DiceMinMatchLength2,0,2,0,23,18, no result,0,0,0,10
rkrGstShingle2DiceMinMatchLength3,0,2,0,24,20, no result,0,0,0,9
rkrGstShingle2DiceVariantMinMatchLength1,0,3,0,24,20, no result,0,0,1,11
rkrGstShingle2DiceVariantMinMatchLength2,0,3,0,25,18, no result,0,0,1,9
rkrGstShingle2DiceVariantMinMatchLength3,0,3,0,26,20, no result,0,0,2,10
rkrGstShingle2JaccardMinMatchLength1,0,3,0,25,20, no result,0,0,1,10
rkrGstShingle2JaccardMinMatchLength2,0,3,1,29,20, no result,0,0,1,9
rkrGstShingle2JaccardMinMatchLength3,0,2,0,25,18, no result,0,0,1,10
rkrGstShingle2OverlapMinMatchLength1,0,3,0,25,26, no result,0,0,1,12
rkrGstShingle2OverlapMinMatchLength2,0,2,0,27,20, no result,1,0,0,9
rkrGstShingle2OverlapMinMatchLength3,0,2,0,23,21, no result,0,0,0,9
rkrGstShingle3DiceMinMatchLength1,0, no result,0,29,22, no result,0,0,1, no result
rkrGstShingle3DiceMinMatchLength2,0, no result,0,28,22, no result,0,0,1, no result
rkrGstShingle3DiceMinMatchLength3,0, no result,0,27,21, no result,0,0,1, no result
rkrGstShingle3DiceVariantMinMatchLength1,0, no result,0,30,25, no result,0,0,1, no result
rkrGstShingle3DiceVariantMinMatchLength2,0, no result,0,28,22, no result,0,0,1, no result
rkrGstShingle3DiceVariantMinMatchLength3,0, no result,0,28,23, no result,0,0,1, no result
