similarity (splittings) (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized5GramOverlapMinMatchLength3, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0
rkrGstShingle3DiceVariantMinMatchLength1, 0, no result, 0, 1, 0, no result, 0, 0, 0, no result
rkrGst4GramDiceVariantMinMatchLength3, 0, 22, 5, 0, 6, 0, 0, 0, 0, 8
cosineNormalizedShingle2Bool, 0, 1, 0, 1, 0, no result, 0, 0, 0, 0
rkrGst5GramDiceVariantMinMatchLength3, 0, 20, 0, 0, 6, 0, 0, 0, 0, 7
winnowing2GramDice, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0
dice4Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
rkrGst2GramJaccardMinMatchLength2, 0, 16, 0, 1, 5, 1, 1, 0, 0, 0
diceVariant3Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
optimalAlignmentShingle2FingerprintNormalized, 0, 2, 0, 1, 0, no result, 1, 0, 0, 0
rkrGst2GramDiceMinMatchLength1, 0, 18, 0, 1, 1, 1, 0, 0, 0, 0
rkrGst3GramDiceMinMatchLength1, 0, 9, 0, 1, 0, 1, 0, 0, 0, 0
optimalAlignment3GramFingerprintNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
rkrGstNormalized3GramDiceMinMatchLength2, 0, 15, 0, 1, 0, 1, 0, 0, 0, 0
rkrGstTokenOverlapMinMatchLength3, 0, 1, 0, 1, 0, 9, 0, 0, 0, 8
winnowingNormalized2GramJaccard, 0, 5, 0, 1, 0, 2, 1, 0, 0, 1
rkrGstNormalizedShingle2OverlapMinMatchLength3, 0, 1, 0, 10, 0, no result, 0, 0, 0, 8
winnowingShingle2Dice, 0, 6, 0, 2, 0, no result, 0, 0, 0, 1
cosineNormalized3GramsNormalizedTermFrequency, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
winnowing3GramDice, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0
rkrGst2GramJaccardMinMatchLength3, 0, 15, 0, 1, 5, 1, 1, 0, 0, 0
jaccardNormalizedShingles3, 0, 2, 0, 2, 0, no result, 1, 0, 0, no result
diceNormalizedTokens, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1
winnowingShingle3DiceVariant, 0, no result, 0, 1, 0, no result, 0, 0, 0, no result
rkrGstNormalized4GramDiceMinMatchLength1, 0, 15, 0, 1, 0, 1, 0, 0, 0, 0
overlapNormalized5Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
jaccardNormalizedPadding5grams, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0
winnowingNormalized4GramJaccard, 0, 5, 1, 1, 1, 2, 2, 0, 0, 1
diceVariantNormalizedPadding5grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
diceNormalizedPadding4grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
jaccardNormalized2Grams, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0
rkrGst2GramOverlapMinMatchLength1, 0, 31, 7, 0, 11, 0, 11, 0, 10, 0
rkrGstShingle2JaccardMinMatchLength3, 0, 3, 0, 10, 0, no result, 1, 0, 0, 10
jaccardNormalized5Grams, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0
rkrGstShingle3JaccardMinMatchLength1, 0, no result, 0, 2, 0, no result, 1, 0, 0, no result
rkrGstNormalizedShingle3DiceMinMatchLength3, 0, 1, 0, 10, 0, no result, 0, 0, 0, no result
rkrGstNormalizedShingle2DiceVariantMinMatchLength2, 0, 1, 0, 0, 0, no result, 0, 0, 0, 8
rkrGst3GramDiceVariantMinMatchLength2, 0, 25, 6, 4, 11, 0, 3, 0, 10, 8
rkrGstNormalizedShingle2JaccardMinMatchLength1, 0, 2, 0, 1, 0, no result, 1, 0, 0, 0
manhattanNormalizedShingles2, 0, 1, 0, 1, 0, no result, 0, 0, 0, 0
diceVariantTokens, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
diceVariantShingles3, 0, no result, 0, 1, 0, no result, 0, 0, 0, no result
rkrGstNormalizedShingle2OverlapMinMatchLength1, 0, 1, 0, 0, 0, no result, 0, 0, 0, 0
winnowingNormalized5GramDiceVariant, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
manhattanNormalized2Grams, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0
optimalAlignmentNormalized, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0
diceVariantNormalizedShingles2, 0, 1, 0, 0, 0, no result, 0, 0, 0, 0
rkrGstNormalizedTokenDiceVariantMinMatchLength2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
overlap2Grams, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
cosineNormalizedShingle2NormalizedTermFrequency, 0, 1, 0, 1, 0, no result, 0, 0, 0, 0
cosineNormalizedShingle3TermFrequency, 0, 1, 0, 1, 0, no result, 0, 0, 0, no result
cosineNormalized3GramsTermFrequency, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0
